horizon,alg_index,hardware_spec,embedding_index,acc
4,1,fake_paris,2,0.7683714923594755
4,1,fake_sydney,0,0.8658366948050905
4,1,fake_sydney,1,0.9913485031918003
4,1,fake_toronto,0,0.9910532503535416
4,1,fake_toronto,1,0.9819215736346852
4,1,fake_toronto,2,0.6544030915129078
4,1,fake_brooklyn,0,0.9554914421429755
4,1,fake_brooklyn,1,0.9883869145062174
4,1,fake_brooklyn,2,0.9113831039574153
4,1,fake_brooklyn,3,0.9833867779039013
4,1,fake_manhattan,0,0.922683400322691
4,1,fake_manhattan,1,0.909243271742735
4,1,fake_manhattan,2,0.7940673570703544
4,1,fake_manhattan,3,0.7032927889827765
4,1,fake_manhattan,4,0.9967043181380064
4,1,fake_cambridge,0,0.662770580266294
4,1,fake_cambridge,1,0.8942576528106121
4,1,fake_cambridge,2,0.5209349164313843
4,1,fake_cambridge,3,0.9910256727908411
4,1,fake_guadalupe,0,0.9562219088850925
4,1,fake_guadalupe,1,0.9928284857563168
4,1,fake_melbourne,0,0.992465617101507
4,1,fake_melbourne,1,0.9699818489270208
4,1,fake_melbourne,2,0.9711220172586912
4,1,fake_melbourne,3,0.6694907802737649
4,1,fake_rochester,0,0.6953137639622712
4,1,fake_rochester,1,0.7420741869391824
4,1,fake_rochester,2,0.5928634226697949
4,1,fake_rochester,3,0.9962333628286338
4,1,fake_rochester,4,0.6674383910591892
4,1,fake_washington,0,0.9816307973504446
4,1,fake_washington,1,0.681633241652863
4,1,fake_washington,2,0.9970057853013637
4,2,fake_johannesburg,0,0.8923016068740104
4,2,fake_johannesburg,1,0.9599307076850511
4,2,fake_johannesburg,2,0.985914106224028
4,2,fake_johannesburg,3,0.997954913372673
4,2,fake_almaden,0,0.9687594657808005
4,2,fake_almaden,1,0.9909578841142336
4,2,fake_almaden,2,0.9982336733762495
4,2,fake_almaden,3,0.8568876479329861
4,2,fake_boeblingen,0,0.9955486994906642
4,2,fake_boeblingen,1,0.9383367605383347
4,2,fake_boeblingen,2,0.9982172900373377
4,2,fake_boeblingen,3,0.9783859881244581
4,2,fake_poughkeepsie,0,0.99733168162432
4,2,fake_poughkeepsie,1,0.9971735322622
4,2,fake_poughkeepsie,2,0.9781758164352
4,2,fake_poughkeepsie,3,0.882238109209952
4,2,fake_singapore,0,0.975032615427235
4,2,fake_singapore,1,0.998394360258704
4,2,fake_singapore,2,0.967274244291792
4,2,fake_singapore,3,0.993296470958145
4,2,fake_tokyo,0,0.98824168678208
4,2,fake_tokyo,1,0.959703313594112
4,2,fake_tokyo,2,0.884543621198152
4,2,fake_tokyo,3,0.9969649019034
4,2,fake_tokyo,4,0.987292962274296
4,2,fake_hanoi,0,0.9964604431805686
4,2,fake_hanoi,1,0.9998018842992167
4,2,fake_hanoi,2,0.9823563462030755
4,2,fake_hanoi,3,0.9860461207276374
4,2,fake_cairo,0,0.9995783702368952
4,2,fake_cairo,1,0.968313613991936
4,2,fake_cairo,2,0.9988912281673057
4,2,fake_cairo,3,0.9998412387509931
4,2,fake_mumbai,0,0.9970950614887466
4,2,fake_mumbai,1,0.9992454125364468
4,2,fake_mumbai,2,0.9942268707922343
4,2,fake_mumbai,3,0.9712622550404713
4,2,fake_kolkata,0,0.9998494926545253
4,2,fake_kolkata,1,0.9925634751701761
4,2,fake_kolkata,2,0.9997324446296042
4,2,fake_kolkata,3,0.9985850922623275
4,2,fake_auckland,0,0.9497648581303303
4,2,fake_auckland,1,0.9997686709615452
4,2,fake_geneva,0,0.9455070674231896
4,2,fake_geneva,1,0.9990863301244438
4,2,fake_montreal,0,0.999501967862931
4,2,fake_montreal,1,0.9997193041647195
4,2,fake_montreal,2,0.9736423324967527
4,2,fake_paris,0,0.999420793109934
4,2,fake_paris,1,0.8727710379862156
4,2,fake_paris,2,0.9531997414582181
4,2,fake_sydney,0,0.9601215319085694
4,2,fake_sydney,1,0.9996091292859808
4,2,fake_toronto,0,0.9996769111967657
4,2,fake_toronto,1,0.9991730971983029
4,2,fake_toronto,2,0.812746296950241
4,2,fake_brooklyn,0,0.9680841501599605
4,2,fake_brooklyn,1,0.999331190718503
4,2,fake_brooklyn,2,0.9858256835971785
4,2,fake_brooklyn,3,0.9993498077393852
4,2,fake_manhattan,0,0.9912773505373765
4,2,fake_manhattan,1,0.99352200251644
4,2,fake_manhattan,2,0.9204449284813163
4,2,fake_manhattan,3,0.5768643713532134
4,2,fake_manhattan,4,0.9996671909039165
4,2,fake_cambridge,0,0.635573822098
4,2,fake_cambridge,1,0.980350444091864
4,2,fake_cambridge,2,0.618906109793072
4,2,fake_cambridge,3,0.998341758672296
4,2,fake_guadalupe,0,0.9867810294487638
4,2,fake_guadalupe,1,0.9993301799988198
4,2,fake_melbourne,0,0.996409631003294
4,2,fake_melbourne,1,0.9967173114655296
4,2,fake_melbourne,2,0.9850544067043812
4,2,fake_melbourne,3,0.8824230213309381
4,2,fake_rochester,0,0.878753589715375
4,2,fake_rochester,1,0.8860195622707813
4,2,fake_rochester,2,0.6752474408954375
4,2,fake_rochester,3,0.998726876130875
4,2,fake_rochester,4,0.6053053625999375
4,2,fake_washington,0,0.9993646961061637
4,2,fake_washington,1,0.846582585861272
4,2,fake_washington,2,0.9998461211800334
5,0,fake_johannesburg,0,0.9523974658835919
5,0,fake_johannesburg,1,0.930521036936223
5,0,fake_johannesburg,2,0.9857499221153964
5,0,fake_johannesburg,3,0.9971924858998874
5,0,fake_almaden,0,0.9446655847885583
5,0,fake_almaden,1,0.9900574020372215
5,0,fake_almaden,2,0.9970301561984364
5,0,fake_almaden,3,0.9009848970445983
5,0,fake_boeblingen,0,0.9949794010075202
5,0,fake_boeblingen,1,0.8989275303170734
5,0,fake_boeblingen,2,0.9974920744418093
5,0,fake_boeblingen,3,0.9695223858918046
5,0,fake_poughkeepsie,0,0.9955810087486912
5,0,fake_poughkeepsie,1,0.9970348737410506
5,0,fake_poughkeepsie,2,0.9758806759709184
5,0,fake_poughkeepsie,3,0.8191769409178923
5,0,fake_singapore,0,0.992153682371948
5,0,fake_singapore,1,0.9972428573806453
5,0,fake_singapore,2,0.9428624723219371
5,0,fake_singapore,3,0.9934170113528699
5,0,fake_tokyo,0,0.9876478232587597
5,0,fake_tokyo,1,0.9523909128177152
5,0,fake_tokyo,2,0.8289767318800393
5,0,fake_tokyo,3,0.9957210237817637
5,0,fake_tokyo,4,0.9884041043522939
5,0,fake_hanoi,0,0.9982330548535658
5,0,fake_hanoi,1,0.999724063497444
5,0,fake_hanoi,2,0.9791493784851028
5,0,fake_hanoi,3,0.9860128003737485
5,0,fake_cairo,0,0.9995783702368952
5,0,fake_cairo,1,0.9657999247101919
5,0,fake_cairo,2,0.9995974655596551
5,0,fake_cairo,3,0.9997908382113383
5,0,fake_mumbai,0,0.9971286685300382
5,0,fake_mumbai,1,0.9988974159497547
